2025-03-06 09:09:31 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 09:09:31 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 09:10:21 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 10:41:57 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 13:19:17 | User: unknown | Action: accessed api endpoint | Method: POST | Endpoint: /activateSubscriber | Payload: RES-202502-30 | Status: 409 | IP: 0:0:0:0:0:0:0:1 | Client: testaccount | Agent: PostmanRuntime/7.43.0
2025-03-06 13:36:44 | User: unknown | Action: accessed api endpoint | Method: POST | Endpoint: /activateSubscriber | Payload: RES-202502-30 | Status: 409 | IP: 0:0:0:0:0:0:0:1 | Client: testaccount | Agent: PostmanRuntime/7.43.0
2025-03-06 14:42:19 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getmigratingsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 14:45:57 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 14:45:58 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getsubscribers | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 14:46:02 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getRogueDevices | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 14:52:30 | User: unknown | Action: accessed api endpoint | Method: GET | Endpoint: /getallolt | Payload: none | Status: 200 | IP: 127.0.0.1 | Client: frontendaccount | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
