2025-03-06 14:52:54 | User: Admin | Action: accessed page | Page: /rogue-devices | Details: Admin accessed the /rogue-devices page | IP: ip_address | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 14:59:36 | User: Admin | Action: accessed page | Page: /rogue-devices | Details: Admin accessed the /rogue-devices page | IP: null | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 14:59:52 | User: Admin | Action: accessed page | Page: /rogue-devices | Details: Admin accessed the /rogue-devices page | IP: null | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:05:46 | User: Admin | Action: accessed page | Page: /rogue-devices | Details: Admin accessed the /rogue-devices page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:30:21 | User: Admin | Action: page visit | Page: /rogue-devices | Details: Admin visits the /rogue-devices page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:30:44 | User: Admin | Action: page visit | Page: /rogue-devices | Details: Admin visited the /rogue-devices page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:56:24 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:57:31 | User: Admin | Action: page visit | Page: /provisioned | Details: Admin visited the /provisioned page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:57:43 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:57:49 | User: Admin | Action: page visit | Page: /rogue-devices | Details: Admin visited the /rogue-devices page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:57:57 | User: Admin | Action: page visit | Page: /network-address | Details: Admin visited the /network-address page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:58:03 | User: Admin | Action: page visit | Page: /troubleshooting | Details: Admin visited the /troubleshooting page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:58:17 | User: Admin | Action: page visit | Page: /network-address | Details: Admin visited the /network-address page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:58:23 | User: Admin | Action: page visit | Page: /network-address/100.126.0.0 | Details: Admin visited the /network-address/100.126.0.0 page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:58:34 | User: Admin | Action: page visit | Page: /provisioned | Details: Admin visited the /provisioned page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:58:38 | User: Admin | Action: page visit | Page: /provisioned/SME-201901-4 | Details: Admin visited the /provisioned/SME-201901-4 page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 15:59:10 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:02:00 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:06:45 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:07:05 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:08:30 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:08:36 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:08:51 | User: Admin | Action: provision subscriber | Page: /inet-config | Details: Admin provisioned RES-11111-8 | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:09:24 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:09:33 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:09:47 | User: Admin | Action: page visit | Page: /provisioned | Details: Admin visited the /provisioned page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:09:59 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:12:57 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:27:20 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:27:48 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:32:07 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:35:34 | User: Admin | Action: page visit | Page: /inet-config | Details: Admin visited the /inet-config page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:37:43 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:38:09 | User: Admin | Action: change For Migration subscriber status | Page: /migration | Details: Admin attempted to change the status of BILLING-TEST subscriber | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:39:53 | User: Admin | Action: page visit | Page: /migration | Details: Admin visited the /migration page | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
2025-03-06 16:39:56 | User: Admin | Action: migrate subscriber from bucket to hive | Page: /migration | Details: Admin attempted to migrate BILLING-TEST subscriber from bucket to hive | IP: 127.0.0.1 | Client: web | Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0
